"";"burchtID";"Jaar";"status";"bewoning";"Gebied"
"1";1;2016;"Bijburcht";"Ongekend";"Haspengouw"
"2";2;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"3";3;2016;"Bijburcht";"Ongekend";"Haspengouw"
"4";4;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
"5";5;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"6";6;2016;"Bijburcht";"Bewoond";"Haspengouw"
"7";8;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"8";9;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"9";10;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"10";12;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"11";13;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"12";14;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"13";15;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"14";16;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"15";19;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
"16";20;2016;"Bijburcht";"Bewoond";"Haspengouw"
"17";23;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"18";24;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"19";26;2016;"Bijburcht";"Bewoond";"Haspengouw"
"20";27;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
"21";28;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"22";29;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"23";30;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"24";31;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"25";36;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"26";37;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"27";39;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"28";39;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"29";39;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"30";40;2016;"Bijburcht";"Bewoond";"Haspengouw"
"31";41;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"32";43;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"33";44;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"34";45;2016;"Bijburcht";"Bewoond";"Haspengouw"
"35";46;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"36";47;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"37";48;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"38";49;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"39";50;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"40";51;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"41";52;2016;"Hoofdburcht";"Ongekend";"Haspengouw"
"42";53;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"43";54;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"44";55;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"45";57;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"46";58;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"47";59;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"48";60;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"49";61;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"50";62;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
"51";63;2016;"Ongekend";"Bewoond";"Haspengouw"
"52";64;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"53";65;2016;"Ongekend";"Bewoond";"Haspengouw"
"54";67;2016;"Bijburcht";"Bewoond";"Haspengouw"
"55";68;2016;"Ongekend";"Bewoond";"Haspengouw"
"56";69;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"57";83;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"58";84;2016;"Hoofdburcht";"Ongekend";"Haspengouw"
"59";85;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"60";86;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"61";87;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"62";88;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"63";89;2016;"Bijburcht";"Ongekend";"Haspengouw"
"64";91;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"65";95;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"66";95;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"67";96;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"68";96;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"69";99;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"70";99;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"71";100;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"72";101;2016;"Bijburcht";"Bewoond";"Haspengouw"
"73";102;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"74";103;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"75";104;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"76";108;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"77";112;2016;"Bijburcht";"Bewoond";"Haspengouw"
"78";112;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"79";113;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"80";113;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"81";114;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"82";115;2016;"Bijburcht";"Bewoond";"Haspengouw"
"83";116;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"84";122;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"85";123;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"86";124;2016;"Bijburcht";"Bewoond";"Haspengouw"
"87";125;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"88";126;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"89";127;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"90";128;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"91";129;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"92";130;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"93";131;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"94";132;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"95";133;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"96";134;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"97";135;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"98";136;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"99";137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"100";137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"101";137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"102";137;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"103";141;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"104";142;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"105";143;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"106";144;2016;"Bijburcht";"Bewoond";"Haspengouw"
"107";229;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"108";230;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"109";231;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"110";232;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"111";233;2016;"Bijburcht";"Bewoond";"Haspengouw"
"112";234;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"113";234;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"114";235;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"115";236;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"116";237;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"117";238;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"118";239;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"119";240;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"120";241;2016;"Bijburcht";"Bewoond";"Haspengouw"
"121";242;2016;"Bijburcht";"Bewoond";"Haspengouw"
"122";243;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"123";243;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"124";244;2016;"Bijburcht";"Bewoond";"Haspengouw"
"125";245;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"126";246;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"127";247;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"128";249;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"129";250;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"130";251;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"131";254;2016;"Ongekend";"Ongekend";"Haspengouw"
"132";265;2016;"Bijburcht";"Bewoond";"Haspengouw"
"133";266;2016;"Verdwenen";"Ongekend";"Haspengouw"
"134";269;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"135";269;2016;"Ongekend";"Ongekend";"Haspengouw"
"136";269;2016;"Bijburcht";"Bewoond";"Haspengouw"
"137";270;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"138";271;2016;"Bijburcht";"Bewoond";"Haspengouw"
"139";272;2016;"Bijburcht";"Bewoond";"Haspengouw"
"140";273;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"141";274;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"142";275;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"143";276;2016;"Bijburcht";"Bewoond";"Haspengouw"
"144";277;2016;"Bijburcht";"Bewoond";"Haspengouw"
"145";278;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"146";279;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"147";280;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"148";281;2016;"Bijburcht";"Bewoond";"Haspengouw"
"149";282;2016;"Bijburcht";"Bewoond";"Haspengouw"
"150";283;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"151";286;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
"152";289;2016;"Verdwenen";"Ongekend";"Haspengouw"
"153";290;2016;"Verdwenen";"Ongekend";"Haspengouw"
"154";291;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
"155";297;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
"156";298;2016;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
"157";301;2016;"Verdwenen";"Niet_bewoond";"Haspengouw"
"158";302;2016;"Ongekend";"Ongekend";"Haspengouw"
"159";305;2016;"Verdwenen";"Ongekend";"Haspengouw"
"160";306;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"161";308;2016;"Ongekend";"Niet_bewoond";"Haspengouw"
"162";309;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
"163";317;2016;"Hoofdburcht";"Bewoond";"Voeren"
"164";318;2016;"Hoofdburcht";"Bewoond";"Voeren"
"165";319;2016;"Hoofdburcht";"Bewoond";"Voeren"
"166";320;2016;"Hoofdburcht";"Bewoond";"Voeren"
"167";321;2016;"Hoofdburcht";"Bewoond";"Voeren"
"168";322;2016;"Hoofdburcht";"Bewoond";"Voeren"
"169";323;2016;"Hoofdburcht";"Bewoond";"Voeren"
"170";324;2016;"Hoofdburcht";"Bewoond";"Voeren"
"171";325;2016;"Hoofdburcht";"Bewoond";"Voeren"
"172";326;2016;"Hoofdburcht";"Bewoond";"Voeren"
"173";327;2016;"Hoofdburcht";"Bewoond";"Voeren"
"174";328;2016;"Hoofdburcht";"Bewoond";"Voeren"
"175";329;2016;"Hoofdburcht";"Bewoond";"Voeren"
"176";330;2016;"Hoofdburcht";"Bewoond";"Voeren"
"177";331;2016;"Hoofdburcht";"Bewoond";"Voeren"
"178";332;2016;"Hoofdburcht";"Bewoond";"Voeren"
"179";333;2016;"Hoofdburcht";"Bewoond";"Voeren"
"180";334;2016;"Hoofdburcht";"Bewoond";"Voeren"
"181";335;2016;"Hoofdburcht";"Bewoond";"Voeren"
"182";336;2016;"Hoofdburcht";"Bewoond";"Voeren"
"183";337;2016;"Hoofdburcht";"Bewoond";"Voeren"
"184";338;2016;"Hoofdburcht";"Bewoond";"Voeren"
"185";339;2016;"Hoofdburcht";"Bewoond";"Voeren"
"186";340;2016;"Hoofdburcht";"Bewoond";"Voeren"
"187";341;2016;"Hoofdburcht";"Bewoond";"Voeren"
"188";342;2016;"Hoofdburcht";"Bewoond";"Voeren"
"189";343;2016;"Hoofdburcht";"Bewoond";"Voeren"
"190";344;2016;"Hoofdburcht";"Bewoond";"Voeren"
