SOORTSCODE;ABUNDANTIE;WAARNEMER1;WAARNEMER2;WAARNEMER3;Datum;MAAND;JAAR;SCHAAL;OPMERKING;X_PROJ;Y_PROJ;;;;;;;;;;;;;
gentnuli;d;verce;;;22/08/2016;8;2016;Foretrex201;;22792,98;198434,65;;;;;;;;;;;;;
gentnuli;d;verce;;;22/08/2016;8;2016;Foretrex201;;22784,02;198428,94;;;;;;;;;;;;;
gentnuli;e;verce;;;22/08/2016;8;2016;Foretrex201;;22754,79;198424,57;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23790,54;199197,48;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;2/08/2016;8;2016;Foretrex201;;23481,68;199457,95;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;2/08/2016;8;2016;Foretrex201;;23472,27;199456,42;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;2/08/2016;8;2016;Foretrex201;;23467,20;199452,14;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23809,57;199428,77;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23787,86;199292,96;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23782,04;199280,29;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23797,60;199332,68;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23802,99;199351,67;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23816,24;199400,04;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23821,16;199410,34;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;10/08/2016;8;2016;Foretrex201;;23833,22;199463,66;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23835,11;199479,02;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23807,76;199347,26;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23801,66;199317,43;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23758,00;199198,96;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23765,81;199198,98;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23783,22;199206,20;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23788,41;199195,30;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23832,27;199237,03;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23831,85;199243,39;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23842,02;199239,71;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;23800,13;199202,78;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;11/08/2016;8;2016;Foretrex201;;22818,86;199157,20;;;;;;;;;;;;;
gentnuli;a;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22814,04;199149,21;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22819,36;199154,79;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22818,22;199144,84;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22806,20;199140,88;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22675,37;199150,04;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22678,53;199150,76;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;12/08/2016;8;2016;Foretrex201;;22683,68;199148,33;;;;;;;;;;;;;
gentnuli;d;gompw;eenad;;16/08/2016;8;2016;Foretrex201;;22450,89;199095,61;;;;;;;;;;;;;
gentnuli;b;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;23022,66;199346,38;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;22921,81;199323,26;;;;;;;;;;;;;
gentnuli;e;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;22928,58;199320,90;;;;;;;;;;;;;
gentnuli;c;gompw;eenad;;17/08/2016;8;2016;Foretrex201;;22991,70;199321,60;;;;;;;;;;;;;
