Meetnet;Meetvariabele
Bleekgeel blaasjeskruid;Oppervlakte
Driekantige bies;Oppervlakte
Duingentiaan;Aantal
Fijn goudscherm;Aantal
Gesteelde zoutmelde;Oppervlakte
Grote bremraap;Aantal
Harlekijn;Aantal
Honingorchis;Aantal
Kleine schorseneer;Aantal
Kleine wolfsklauw;Aantal
Klimopklokje;Oppervlakte
Koprus;Aantal
Krabbenscheer;Aantal
Moerassmele;Oppervlakte
Plat fonteinkruid;Oppervlakte
Polei;Oppervlakte
Purperorchis;Aantal
Ronde zegge;Oppervlakte
Slank wollegras;Oppervlakte
Spits fonteinkruid;Oppervlakte
Stekende bies;Oppervlakte
Veenmosorchis;Aantal
Weegbreefonteinkruid;Oppervlakte
Welriekende nachtorchis;Aantal
Witte waterranonkel;Oppervlakte
