Meetnet;Locatie
Driekantige bies;Scheldeoever12 (d4-12-44)
Grote bremraap;Gewest (c3-28-11)
Grote bremraap;Vroegeinde (c5-24-41)
Grote bremraap;Lillo (c5-43-23)
Grote bremraap;Kattenberg (c5-12-44)
Klimopklokje;Kindernouw1 (c5-15-32)
Klimopklokje;Rollekesbergen (b5-56-33)
Klimopklokje;Meergoor2 (c6-24-13)
Moerassmele;Langdonken (d5-26-44)
Purperorchis;Ruisbroek - A12 (d4-15-23)
Ronde zegge;Buitengoor (c6-24-31)
Ronde zegge;Grote Nete (c6-44-13)
Spits fonteinkruid;Munkebossen (d2-12-13)
Spits fonteinkruid;Visvijvers (c5-24-13)
Weegbreefonteinkruid;Oostvoorduinen (c0-48-44)
Witte waterranonkel;Zandwinningsputten (c5-14-44)
Witte waterranonkel;Melle (b5-58-23)
Witte waterranonkel;Bonte Klepper (b5-44-13)
Witte waterranonkel;Blommerschot (c5-14-24)
Witte waterranonkel;Buitengoor - Meergoor - Sluismeer1 (c6-23-41)
