id;naam_nl;naam_lat;speciesid;datum;invoerdatum;aantal;gedrag;kleed;geslacht;wnr_id;wnr;x;y;utm1;ifbl_tag;ifbl_uur;gebied;gemeente;deelgemeente;provincie;typewaarneming;status;embargo_datum;toestemming_wnr;Floron-code;precisie;soortgroep;familie;aanleverdatum;;Meetnet/Nieuw;Protocol
122929985;Bleekgeel blaasjeskruid;Utricularia ochroleuca;2794;1/07/2016;27/08/2016;0;ter plaatse;onbekend;onbekend;82883;Kris Pacquée;193890,781;189456,3552;FS3953;d5-38-22;d5-38;Molenstede - Kraanrijk;Scherpenheuvel-Zichem;Zichem;Vlaams-Brabant;losse waarneming;Onbehandeld;1/01/1980;3;0;100;Planten;Lentibulariaceae;15/11/2016;;M;
121860389;Driekantige bies;Schoenoplectus triqueter;2739;22/07/2016;27/07/2016;1;ter plaatse;onbekend;onbekend;40533;Joost Reyniers;144366,1941;201381,9961;ES9064;c4-54-21;c4-54;Bornem - Scheldeschorren - Schelde - Hingene;Bornem;Hingene;Antwerpen;losse waarneming;Goedgekeurd op basis van bewijsmateriaal;1/01/1980;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
122986039;Driekantige bies;Schoenoplectus triqueter;2739;28/08/2016;28/08/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;129921,2547;193344,1996;ES7556;d3-28-22;d3-28;  ;Dendermonde;Grembergen;Oost-Vlaanderen;losse waarneming;Onbehandeld;1/01/1980;3;B;10;Planten;Cyperaceae;15/11/2016;;M;
122986026;Driekantige bies;Schoenoplectus triqueter;2739;28/08/2016;28/08/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;119620,4605;189055,8514;ES6551;d3-36-14;d3-36;Schellebelle - Dorp en omgeving;Wichelen;Schellebelle;Oost-Vlaanderen;losse waarneming;Onbehandeld;1/01/1980;3;B;10;Planten;Cyperaceae;15/11/2016;;M;
122983151;Driekantige bies;Schoenoplectus triqueter;2739;28/08/2016;28/08/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122341,9166;189656,6546;ES6852;d3-37-11;d3-37;  ;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;B;10;Planten;Cyperaceae;15/11/2016;;M;
123271829;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122777,4279;188334,7397;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
123271822;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122618,2491;188471,9793;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;5;Planten;Cyperaceae;15/11/2016;;M;
123271823;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122686,1099;188414,0211;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
123271824;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122737,6943;188368,9321;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
123271825;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122750,997;188356,6581;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
123271826;Driekantige bies;Schoenoplectus triqueter;2739;3/09/2016;3/09/2016;1;ter plaatse;onbekend;onbekend;46976;Robbert Schepers;122760,7624;188352,0069;ES6851;d3-37-13;d3-37;Wichelen - Centrum en omgeving;Wichelen;Wichelen;Oost-Vlaanderen;iObs;Goedgekeurd op basis van bewijsmateriaal;1/01/2007;3;A;10;Planten;Cyperaceae;15/11/2016;;M;
