Soortnaam;Locatie;Uitgevoerd;Link_waarnemingen;puntlocaties zonder CP telling 2016
Bleekgeel blaasjeskruid;Goor-Asbrook (d5-18-34);;;
Grote bremraap;Schedelhof (c5-55-12);;;
Grote bremraap;Nijlense beek (c5-43-24);1;http://waarnemingen.be/waarneming/view/119980845;
Grote bremraap;Doffen (c5-46-22);;;
Grote bremraap;Kleine Netevallei (c5-32-43);1;http://waarnemingen.be/waarneming/view/122060890;
Grote bremraap;Halse Bossen (c5-22-14);1;http://waarnemingen.be/waarneming/view/124424100;
Grote bremraap;Lovenhoek (c5-24-32);1;http://waarnemingen.be/waarneming/view/122061315;
Grote bremraap;Kattenberg (c5-12-44);1;http://waarnemingen.be/waarneming/view/124424046;
Grote bremraap;Vorsebeemden (c5-12-42);1;http://waarnemingen.be/waarneming/view/118960657;
Grote bremraap;Vorsebeemden (c5-12-42);1;http://waarnemingen.be/waarneming/view/118960645;
Grote bremraap;Vorsebeemden (c5-12-42);1;http://waarnemingen.be/waarneming/view/118960640;
Klimopklokje;Watereinde (d5-18-14);1;http://waarnemingen.be/waarneming/view/120294684;
Klimopklokje;Langendonk - Olens Broek (c5-36-23);;;
Klimopklokje;Zegge3 (c5-37-21);;;
Klimopklokje;Zegge4 (c5-37-22);;;
Klimopklokje;Zegge5 (c5-38-11);;;
Klimopklokje;Zegge1 (c5-27-44);;;
Klimopklokje;Zegge2 (c5-28-33);;;
Klimopklokje;Kindernouw1 (c5-15-32);1;http://waarnemingen.be/waarneming/view/124471030;
Klimopklokje;Kindernouw2 (c5-15-41);1;http://waarnemingen.be/waarneming/view/120309173;
Klimopklokje;Meergoor1 (c6-23-42);;;
Klimopklokje;Meergoor2 (c6-24-13);1;http://waarnemingen.be/waarneming/view/123222114;
Klimopklokje;Rollekesbergen (b5-56-33);1;http://waarnemingen.be/waarneming/view/124471039;
Krabbenscheer;Blaasveldbroek2 (d4-26-12);1;http://waarnemingen.be/waarneming/view/123357165;
Krabbenscheer;Blaasveldbroek1 (d4-16-34);1;http://waarnemingen.be/waarneming/view/122773803;
Krabbenscheer;Vormingsstation1 (b4-55-24);1;http://waarnemingen.be/waarneming/view/122612640;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612275;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612378;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612534;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612377;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612384;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612387;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612383;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612532;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612462;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612382;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612498;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612636;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612637;
Krabbenscheer;Vormingsstation1 (b4-55-24);;http://waarnemingen.be/waarneming/view/122612639;
Krabbenscheer;Vormingsstation3 (b4-56-31);1;http://waarnemingen.be/waarneming/view/122613503;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613391;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613914;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613913;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613887;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613885;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613864;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613861;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613857;
Krabbenscheer;Vormingsstation3 (b4-56-31);;http://waarnemingen.be/waarneming/view/122613420;
