meetnet;protocol;visit_id;task_id;bezoekvariabele;waarde;eenheid
Argusvlinder;vlinders transecten;11;0;windkracht;0 (windstil);beaufort
Argusvlinder;vlinders transecten;11;0;bewolking;0/8 (onbewolkt);
Argusvlinder;vlinders transecten;11;0;temperatuur;14.0;graden celcius
Argusvlinder;vlinders transecten;14;105;bewolking;1/4 overgaand naar 1/6 op het einde;
Argusvlinder;vlinders transecten;14;105;windkracht;4/5;beaufort
Argusvlinder;vlinders transecten;14;105;temperatuur;13.0;graden celcius
Argusvlinder;vlinders transecten;21;98;windkracht;licht;beaufort
Argusvlinder;vlinders transecten;21;98;bewolking;niet bewolkt;
Argusvlinder;vlinders transecten;21;98;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;22;115;windkracht;licht;beaufort
Argusvlinder;vlinders transecten;22;115;bewolking;niet bewolkt;
Argusvlinder;vlinders transecten;22;115;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;26;419;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;26;419;windkracht;2 bft;beaufort
Argusvlinder;vlinders transecten;26;419;bewolking;lichte wolkensluier;
Argusvlinder;vlinders transecten;30;117;temperatuur;19.0;graden celcius
Argusvlinder;vlinders transecten;30;117;bewolking;volle zon;
Argusvlinder;vlinders transecten;30;117;windkracht;3-4;beaufort
Argusvlinder;vlinders transecten;31;437;windkracht;<2bft;beaufort
Argusvlinder;vlinders transecten;31;437;temperatuur;20.0;graden celcius
Argusvlinder;vlinders transecten;31;437;bewolking;<20%;
Argusvlinder;vlinders transecten;37;107;windkracht;1-2;beaufort
Argusvlinder;vlinders transecten;37;107;bewolking;geen;
Argusvlinder;vlinders transecten;37;107;temperatuur;18.0;graden celcius
Argusvlinder;vlinders transecten;41;447;bewolking;overwegend zon, enkele wolken;
Argusvlinder;vlinders transecten;41;447;temperatuur;25.0;graden celcius
Argusvlinder;vlinders transecten;41;447;windkracht;4;beaufort
Argusvlinder;vlinders transecten;42;749;bewolking;geen;
Argusvlinder;vlinders transecten;42;749;windkracht;4;beaufort
Argusvlinder;vlinders transecten;42;749;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;46;0;bewolking;100;
Argusvlinder;vlinders transecten;46;0;temperatuur;17.0;graden celcius
Argusvlinder;vlinders transecten;46;0;windkracht;3;beaufort
Argusvlinder;vlinders transecten;49;1079;windkracht;3;beaufort
Argusvlinder;vlinders transecten;49;1079;bewolking;Bewolkt met korte opklaringen;
Argusvlinder;vlinders transecten;49;1079;temperatuur;18.0;graden celcius
Argusvlinder;vlinders transecten;52;0;windkracht;3 bft;beaufort
Argusvlinder;vlinders transecten;52;0;temperatuur;24.0;graden celcius
Argusvlinder;vlinders transecten;52;0;bewolking;20%;
Argusvlinder;vlinders transecten;63;108;temperatuur;19.0;graden celcius
Argusvlinder;vlinders transecten;63;108;windkracht;1-2;beaufort
Argusvlinder;vlinders transecten;63;108;bewolking;50%;
Argusvlinder;vlinders transecten;64;1083;windkracht;;beaufort
Argusvlinder;vlinders transecten;64;1083;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;64;1083;bewolking;;
Argusvlinder;vlinders transecten;66;776;bewolking;;
Argusvlinder;vlinders transecten;66;776;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;66;776;windkracht;;beaufort
Argusvlinder;vlinders transecten;67;753;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;67;753;windkracht;;beaufort
Argusvlinder;vlinders transecten;67;753;bewolking;;
Argusvlinder;vlinders transecten;68;446;bewolking;;
Argusvlinder;vlinders transecten;68;446;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;68;446;windkracht;;beaufort
Argusvlinder;vlinders transecten;71;116;bewolking;;
Argusvlinder;vlinders transecten;71;116;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;71;116;windkracht;;beaufort
Argusvlinder;vlinders transecten;72;423;bewolking;;
Argusvlinder;vlinders transecten;72;423;temperatuur;;graden celcius
Argusvlinder;vlinders transecten;72;423;windkracht;;beaufort
