groep;meetnet;task_id;taak;visit_id;start_date;start_time;end_date;end_time;notes;locatie;protocol;bezoek_status;uitgevoerd_door
amfibieën;Boomkikker;;;293;2/07/2016;;;;Geen BOOMKIKKER in dit gebied.;Kasteel De Schans;Padden en kikkers - Larven;Geen veldwerk mogelijk;Peter Engelen
amfibieën;Boomkikker;1097;Veldbezoek 1;375;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes, Aantal: 50-60 geschat;Maaswinkel 1;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;;;392;9/05/2016;22:00:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Bart Hoelbeek, totaal 7 poelen maaswinkel: 140-155 mannetjes;Maaswinkel 1;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1157;Veldbezoek 2;383;13/05/2016;21:00:00;;22:30:00;Hoofdteller: Bertie Vanderlee, Medetellers: Freddy Janssens, Philippe Plessers, totaal 7 poelen maaswinkel: ongeveer 122 mannetjes;Maaswinkel 1;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1560;Schepbezoek 1 (larven);257;14/07/2016;18:45:00;14/07/2016;19:30:00;Tellers: Bertie Vanderlee, Bart Hoelbeek, Iwan Dewyspelaere, Bovenop ondervermelde soorten ook nog 1 groene kikker (schep 8), maximale diepte: 2m;Maaswinkel 1;Padden en kikkers - Larven;Conform protocol;Hannes Ledegen
amfibieën;Boomkikker;1091;Veldbezoek 1;376;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes;Maaswinkel 2;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;;;393;9/05/2016;22:00:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Bart Hoelbeek, totaal 7 poelen maaswinkel: 140-155 mannetjes, Aantal mannetjes: 15-20;Maaswinkel 2;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1151;Veldbezoek 2;384;13/05/2016;21:00:00;;22:30:00;Hoofdteller: Bertie Vanderlee, Medetellers: Freddy Janssens, Philippe Plessers, totaal 7 poelen maaswinkel: ongeveer 122 mannetjes;Maaswinkel 2;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
amfibieën;Boomkikker;1554;Schepbezoek 1 (larven);258;14/07/2016;18:10:00;14/07/2016;18:35:00;Tellers: Bertie Vanderlee, Bart Hoelbeek, Iwan Dewyspelaere, Ook nog 1 exemplaar adulte kleine watersalamander, Alpenwatersalamander 4 exemplaren in schep 3 kunnen ook mogelijk larven van kleine watersalamander geweest zijn., maximale diepte: 1m;Maaswinkel 2;Padden en kikkers - Larven;Conform protocol;Hannes Ledegen
amfibieën;Boomkikker;1095;Veldbezoek 1;377;7/05/2016;21:30:00;;23:00:00;Hoofdteller: Bertie Vanderlee, Medetellers: Jos Gorissen, Ann Thijs, Marleen Lambrichts, totaal 7 poelen maaswinkel: 163-183 mannetjes;Maaswinkel 3;Padden en kikkers - Roepkoren;Conform protocol;Beheerder Natuurpunt
