Meetnet;Protocol;Type;Meetnetlocaties;Meetcyclus;Generatie;Bezoeken;Begin_telperiode;Einde_telperiode
Boomkikker;Roepkoren;Steekproef;60;3;;2;15/04/2017;15/06/2017
Boomkikker;Larven;Steekproef;60;3;;1;1/07/2017;30/07/2017
Vuursalamander;Transecten;Integraal;38;1;;2;1/09/2017;30/10/2017
Rivierrombout;Larvehuidjes;Integraal;13;1;;6;20/06/2017;20/08/2017
Gevlekte witsnuitlibel;Gebiedstelling;Integraal;25;1;;2;1/06/2017;30/06/2017
Kempense heidelibel;Gebiedstelling;Integraal;6;1;;2;1/08/2017;31/08/2017
Maanwaterjuffer;Gebiedstelling;Integraal;7;1;;2;1/05/2017;31/05/2017
Lentevuurspin;Webtelling;Integraal;3;1;;1;15/08/2017;15/09/2017
Zadelsprinkhaan;Gebiedstelling;Integraal;5;1;;1;1/08/2017;30/09/2017
Argusvlinder;Transecten;Steekproef;30;3;Generatie 1;3;1/05/2017;31/05/2017
Argusvlinder;Transecten;Steekproef;30;3;Generatie 2;3;20/07/2017;20/08/2017
Heivlinder;Transecten;Steekproef;30;3;;3;20/07/2017;20/08/2017
Kommavlinder;Transecten;Integraal;12;1;;3;1/08/2017;31/08/2017
Veldparelmoervlinder;Transecten;Integraal;12;1;;3;1/05/2017;31/05/2017
Gentiaanblauwtje;Eitelling;Integraal;7;1;;1;1/08/2017;31/08/2017
Hazelmuis;Transecten;Integraal;16;1;;2;15/09/2017;15/11/2017
Das;Burchtentelling das;Integraal;435;3;;1;15/05/2017;15/07/2017
Hamster;Burchtentelling hamster;Integraal;1;1;;1;;
Bleekgeel blaasjeskruid;Gebiedstelling;Integraal;2;1;;1;1/06/2017;30/08/2017
Driekantige bies;Gebiedstelling;Integraal;13;1;;1;1/06/2017;30/09/2017
Duingentiaan;Gebiedstelling;Integraal;13;1;;1;1/08/2017;30/09/2017
Fijn goudscherm;Gebiedstelling;Integraal;2;1;;1;1/06/2017;30/09/2017
Gesteelde zoutmelde;Gebiedstelling;Integraal;3;1;;1;1/08/2017;30/09/2017
Grote bremraap;Gebiedstelling;Integraal;41;1;;1;1/06/2017;30/07/2017
Harlekijn;Gebiedstelling;Integraal;2;1;;1;1/05/2017;30/06/2017
Honingorchis;Gebiedstelling;Integraal;11;1;;1;1/06/2017;30/07/2017
Kleine schorseneer;Gebiedstelling;Integraal;4;1;;1;1/05/2017;30/06/2017
Kleine wolfsklauw;Gebiedstelling;Integraal;3;1;;1;1/08/2017;30/09/2017
Klimopklokje;Gebiedstelling;Integraal;12;1;;1;1/06/2017;30/09/2017
Koprus;Gebiedstelling;Integraal;2;1;;1;1/06/2017;30/09/2017
Krabbenscheer;Gebiedstelling;Integraal;11;1;;1;1/05/2017;30/07/2017
Moerassmele;Gebiedstelling;Integraal;5;1;;1;1/07/2017;30/08/2017
Plat fonteinkruid;Gebiedstelling;Integraal;6;1;;1;1/05/2017;30/09/2017
Polei;Gebiedstelling;Integraal;3;1;;1;1/08/2017;30/09/2017
Purperorchis;Gebiedstelling;Integraal;18;1;;1;1/05/2017;30/06/2017
Ronde zegge;Gebiedstelling;Integraal;16;1;;1;1/05/2017;30/06/2017
Slank wollegras;Gebiedstelling;Integraal;5;1;;1;1/05/2017;30/07/2017
Spits fonteinkruid;Gebiedstelling;Integraal;25;1;;1;1/05/2017;30/09/2017
Stekende bies;Gebiedstelling;Integraal;3;1;;1;1/06/2017;30/08/2017
Veenmosorchis;Gebiedstelling;Integraal;3;1;;1;1/07/2017;30/08/2017
Weegbreefonteinkruid;Gebiedstelling;Integraal;14;1;;1;1/05/2017;30/08/2017
Welriekende nachtorchis;Gebiedstelling;Integraal;18;1;;1;1/06/2017;30/08/2017
Witte waterranonkel;Gebiedstelling;Integraal;44;1;;1;1/05/2017;30/07/2017
