Soortgroep;Soort;Type_soort;Opstartjaar
Amfibieën;Kamsalamander;HRL;2017
Amfibieën;Boomkikker;HRL;2016
Amfibieën;Knoflookpad;HRL;2017
Amfibieën;Heikikker (PR);HRL;Te bepalen
Amfibieën;Poelkikker (PR);HRL;Te bepalen
Amfibieën;Rugstreeppad;HRL;2018
Amfibieën;Vuursalamander;VPS;2016
Libellen;Bosbeekjuffer;VPS;2018
Libellen;Variabele waterjuffer;VPS;2017
Libellen;Vroege glazenmaker;VPS;2017
Libellen;Rivierrombout;HRL;2016
Libellen;Beekrombout;VPS;2018
Libellen;Gevlekte witsnuitlibel;VPS;2016
Libellen;Hoogveenglanslibel;VPS;2018
Libellen;Speerwaterjuffer;VPS;2017
Libellen;Kempense heidelibel;VPS;2016
Libellen;Maanwaterjuffer;VPS;2016
Kevers;Roestbruine kniptor (IHS);VPS;2018
Kevers;Vliegend hert (IHS);HRL;2017
Mollusken;Nauwe korfslak (IHS);HRL;2018
Mollusken;Zeggenkorfslak (IHS);HRL;2018
Mollusken;Platte schijfhoren (IHS);HRL;2018
Mollusken;Bataafse stroommossel (IHS);HRL;2018
Spinnen;Gerande oeverspin (IHS);VPS;2017
Spinnen;Lentevuurspin;VPS;2016
Sprinkhanen en krekels;Zadelsprinkhaan;VPS;2016
Sprinkhanen en krekels;Schavertje;VPS;2017
Vlinders;Aardbeivlinder;VPS;2017
Vlinders;Argusvlinder;VPS;2016
Vlinders;Bruin dikkopje;VPS;2017
Vlinders;Klaverblauwtje;VPS;2017
Vlinders;Grote weerschijnvlinder;VPS;2018
Vlinders;Heivlinder;VPS;2016
Vlinders;Kommavlinder;VPS;2016
Vlinders;Oranje zandoogje;VPS;2017
Vlinders;Veldparelmoervlinder;VPS;2016
Vlinders;Bruine eikenpage;VPS;2018
Vlinders;Gentiaanblauwtje;VPS;2016
Landzoogdieren;Hamster;HRL;2016
Landzoogdieren;Das;VPS;Verderzetting bestaand meetnet
Landzoogdieren;Otter (IHS);HRL;2018
Landzoogdieren;Hazelmuis;HRL;Verderzetting bestaand meetnet
Landzoogdieren;Bever;HRL;Meetnet in ontwerp
Vaatplanten;Groenknolorchis (PR);HRL;Verderzetting bestaand meetnet
Vaatplanten;Kruipend moerasscherm (PR) ;HRL;Verderzetting bestaand meetnet
Vaatplanten;Drijvende waterweegbree (PR);HRL;Verderzetting bestaand meetnet
Vaatplanten;Bleekgeel blaasjeskruid;VPS;2016-2018
Vaatplanten;Driekantige bies;VPS;2016-2018
Vaatplanten;Duingentiaan;VPS;2016-2018
Vaatplanten;Fijn goudscherm;VPS;2016-2018
Vaatplanten;Gesteelde zoutmelde;VPS;2016-2018
Vaatplanten;Grote bremraap;VPS;2016-2018
Vaatplanten;Harlekijn;VPS;2016-2018
Vaatplanten;Honingorchis;VPS;2016-2018
Vaatplanten;Kleine schorseneer;VPS;2016-2018
Vaatplanten;Kleine wolfsklauw;VPS;2016-2018
Vaatplanten;Klimopklokje;VPS;2016-2018
Vaatplanten;Koprus;VPS;2016-2018
Vaatplanten;Krabbenscheer;VPS;2016-2018
Vaatplanten;Moerassmele;VPS;2016-2018
Vaatplanten;Plat fonteinkruid;VPS;2016-2018
Vaatplanten;Polei;VPS;2016-2018
Vaatplanten;Purperorchis;VPS;2016-2018
Vaatplanten;Ronde zegge;VPS;2016-2018
Vaatplanten;Slank wollegras;VPS;2016-2018
Vaatplanten;Spits fonteinkruid;VPS;2016-2018
Vaatplanten;Stekende bies;VPS;2016-2018
Vaatplanten;Veenmosorchis;VPS;2016-2018
Vaatplanten;Weegbreefonteinkruid;VPS;2016-2018
Vaatplanten;Welriekende nachtorchis;VPS;2016-2018
Vaatplanten;Witte waterranonkel;VPS;2016-2018
Vleermuizen;Rosse vleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Watervleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Franjestaart (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Baardvleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Meervleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Ingekorven vleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Gewone grootoorvleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Grijze grootoorvleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Bechstein's vleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Brandt's vleermuis (winterpopulatie);HRL;Verderzetting bestaand meetnet
Vleermuizen;Bosvleermuis (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Gewone dwergvleermuis (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Rosse vleermuis (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Ruige dwergvleermuis (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Laatvlieger (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Watervleermuis (zomerpopulatie);HRL;Te bepalen
Vleermuizen;Meervleermuis (zomerpopulatie);HRL;Te bepalen
Vissen;Fint (PR);HRL;Verderzetting bestaand meetnet
Vissen;Kleine modderkruiper (PR);HRL;Verderzetting bestaand meetnet
Vissen;Rivierdonderpad (PR);HRL;Verderzetting bestaand meetnet
Vissen;Rivierprik (PR);HRL;Verderzetting bestaand meetnet
Vissen;Beekprik (PR);HRL;Verderzetting bestaand meetnet
Vissen;Grote modderkruiper (PR);HRL;Verderzetting bestaand meetnet
Vissen;Bittervoorn (PR);HRL;Verderzetting bestaand meetnet
Vogels;Algemene broedvogels;VRL;Verderzetting bestaand meetnet
Vogels;Bijzondere broedvogels;VRL;Verderzetting bestaand meetnet
Vogels;Minder algemene en schaarse broedvogels;VRL;Te bepalen
Vogels;Overwinterende trekvogels;VRL;Verderzetting bestaand meetnet
